patient_country_slug,patient_country_name,medical_visa_available,e_visa_eligible,visa_type,processing_time_days,validity_days,entries_allowed,fee_usd,fee_local,fee_local_currency,documents_required,attendant_visa_available,max_attendants,renewal_possible,renewal_authority,source_url,source_name,verified_date,verified_by,notes
bangladesh,Bangladesh,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,9760,BDT,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,Extendable by 6 months if treatment continues
ethiopia,Ethiopia,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,10127,ETB,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,
saudi_arabia,Saudi Arabia,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,300,SAR,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,Spouse and children attendants common
uae,United Arab Emirates,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,294,AED,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,
oman,Oman,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,31,OMR,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,
kenya,Kenya,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,10350,KES,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,
nigeria,Nigeria,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,123000,NGN,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,
united_kingdom,United Kingdom,TRUE,TRUE,e-Medical Visa,3-5,60,triple,80,64,GBP,"Passport with 6 months validity; recent photo; hospital invitation letter; medical history; financial proof",TRUE,2,TRUE,FRRO,https://indianvisaonline.gov.in/evisa/tvoa.html,Indian e-Visa Portal (Government of India),2026-01-15,Chittrang,
